,redeem_status,name,bonus,cumulativevalue,netvalue,fund_id,daily_growth_rate,apply_status,netvalue_date
4912,场内卖出,建信现金添益货币H,,1.1557,1.1557,511660,4.2820%,场内买入,2018-03-19
4913,场内卖出,建信现金添益货币H,,1.1494,1.1494,511660,4.2760%,场内买入,2018-03-18
4914,场内卖出,华夏快线交易型货币,,1.1238,1.1238,511650,5.0440%,场内买入,2018-03-21
4915,场内卖出,华夏快线交易型货币,,2.8350,2.835,511650,5.0870%,场内买入,2018-03-20
4916,场内卖出,华夏快线交易型货币,,1.0968,1.0968,511650,4.1360%,场内买入,2018-03-19
4917,场内卖出,华夏快线交易型货币,,2.2148,2.2148,511650,4.0870%,场内买入,2018-03-18
4918,场内卖出,华夏快线交易型货币,,1.1001,1.1001,511650,4.0810%,场内买入,2018-03-16
4919,场内卖出,华泰柏瑞上证红利ETF,,2.2739,2.9171,510880,0.33%,场内买入,2018-03-27
4920,场内卖出,华泰柏瑞上证红利ETF,,2.2676,2.9075,510880,-1.15%,场内买入,2018-03-26
4921,场内卖出,华泰柏瑞上证红利ETF,,2.2898,2.9414,510880,-2.38%,场内买入,2018-03-23
4922,场内卖出,华泰柏瑞上证红利ETF,,2.3369,3.0132,510880,-0.65%,场内买入,2018-03-22
4923,场内卖出,华泰柏瑞上证红利ETF,,2.3498,3.033,510880,-0.16%,场内买入,2018-03-21
4924,场内卖出,国泰上证10年期国债ETF,,1.0020,100.209,511260,-0.09%,场内买入,2018-03-27
4925,场内卖出,国泰上证10年期国债ETF,,1.0030,100.302,511260,-0.15%,场内买入,2018-03-26
4926,场内卖出,国泰上证10年期国债ETF,,1.0050,100.451,511260,0.38%,场内买入,2018-03-23
4927,场内卖出,国泰上证10年期国债ETF,,1.0010,100.067,511260,0.13%,场内买入,2018-03-22
4928,场内卖出,国泰上证10年期国债ETF,,0.9990,99.94,511260,0.16%,场内买入,2018-03-21
4929,暂停赎回,上证上海改革发展主题ETF,,0.9001,0.9001,510820,0.56%,暂停申购,2018-03-27
4930,暂停赎回,上证上海改革发展主题ETF,,0.8951,0.8951,510820,-0.23%,暂停申购,2018-03-26
4931,暂停赎回,上证上海改革发展主题ETF,,0.8972,0.8972,510820,-3.51%,暂停申购,2018-03-23
4932,暂停赎回,上证上海改革发展主题ETF,,0.9298,0.9298,510820,0.16%,暂停申购,2018-03-22
4933,暂停赎回,上证上海改革发展主题ETF,,0.9283,0.9283,510820,0.00%,暂停申购,2018-03-21
4934,场内卖出,易方达恒生ETF,,1.2489,1.2489,510900,0.26%,场内买入,2018-03-27
4935,场内卖出,易方达恒生ETF,,1.2457,1.2457,510900,0.43%,场内买入,2018-03-26
4936,场内卖出,易方达恒生ETF,,1.2404,1.2404,510900,-2.25%,场内买入,2018-03-23
4937,场内卖出,易方达恒生ETF,,1.2689,1.2689,510900,-1.11%,场内买入,2018-03-22
4938,场内卖出,易方达恒生ETF,,1.2831,1.2831,510900,-0.38%,场内买入,2018-03-21
4939,场内卖出,华泰柏瑞上证红利ETF,,2.3530,3.0378,510880,0.18%,场内买入,2018-03-20
4940,场内卖出,华泰柏瑞上证红利ETF,,2.3494,3.0324,510880,-0.46%,场内买入,2018-03-19
4941,场内卖出,华泰柏瑞上证红利ETF,,2.3585,3.0463,510880,-0.78%,场内买入,2018-03-16
4942,场内卖出,国泰上证10年期国债ETF,,0.9980,99.78,511260,0.17%,场内买入,2018-03-20
4943,场内卖出,国泰上证10年期国债ETF,,0.9960,99.613,511260,0.06%,场内买入,2018-03-19
4944,暂停赎回,上证上海改革发展主题ETF,,0.9283,0.9283,510820,-0.54%,暂停申购,2018-03-20
4945,暂停赎回,上证上海改革发展主题ETF,,0.9333,0.9333,510820,0.00%,暂停申购,2018-03-19
4946,场内卖出,易方达恒生ETF,,1.2880,1.288,510900,-0.61%,场内买入,2018-03-20
4947,场内卖出,易方达恒生ETF,,1.2959,1.2959,510900,-0.15%,场内买入,2018-03-19
4948,场内卖出,华泰柏瑞上证红利ETF,,2.3743,3.0703,510880,-0.05%,场内买入,2018-03-15
4949,场内卖出,华泰柏瑞上证红利ETF,,2.3753,3.0718,510880,-0.31%,场内买入,2018-03-14
4950,场内卖出,国泰上证10年期国债ETF,,0.9960,99.551,511260,0.09%,场内买入,2018-03-16
4951,场内卖出,国泰上证10年期国债ETF,,0.9950,99.466,511260,0.12%,场内买入,2018-03-15
4952,暂停赎回,上证上海改革发展主题ETF,,0.9333,0.9333,510820,-0.38%,暂停申购,2018-03-16
4953,暂停赎回,上证上海改革发展主题ETF,,0.9369,0.9369,510820,0.13%,暂停申购,2018-03-15
4954,场内卖出,易方达恒生ETF,,1.2979,1.2979,510900,-0.08%,场内买入,2018-03-16
4955,场内卖出,易方达恒生ETF,,1.2989,1.2989,510900,0.18%,场内买入,2018-03-15
4956,场内卖出,易方达恒生ETF,,1.2966,1.2966,510900,-0.51%,场内买入,2018-03-14
4957,场内卖出,上证医药卫生ETF,,2.0204,2.0204,510660,0.92%,场内买入,2018-03-27
4958,场内卖出,上证医药卫生ETF,,2.0019,2.0019,510660,2.95%,场内买入,2018-03-26
4959,场内卖出,国泰上证10年期国债ETF,,0.9930,99.349,511260,-0.03%,场内买入,2018-03-14
4960,暂停赎回,上证上海改革发展主题ETF,,0.9357,0.9357,510820,-0.58%,暂停申购,2018-03-14
4961,场内卖出,博时上证自然资源ETF,,0.7745,0.7745,510410,1.45%,场内买入,2018-03-27
4962,场内卖出,博时上证自然资源ETF,,0.7634,0.7634,510410,0.47%,场内买入,2018-03-26
4963,场内卖出,博时上证自然资源ETF,,0.7598,0.7598,510410,-3.47%,场内买入,2018-03-23
4964,场内卖出,博时上证自然资源ETF,,0.7871,0.7871,510410,0.36%,场内买入,2018-03-22
4965,场内卖出,博时上证自然资源ETF,,0.7843,0.7843,510410,-0.34%,场内买入,2018-03-21
4966,场内卖出,上证医药卫生ETF,,1.9446,1.9446,510660,-2.62%,场内买入,2018-03-23
4967,场内卖出,上证医药卫生ETF,,1.9969,1.9969,510660,-1.05%,场内买入,2018-03-22
4968,场内卖出,上证医药卫生ETF,,2.0181,2.0181,510660,-1.07%,场内买入,2018-03-21
4969,场内卖出,上证医药卫生ETF,,2.0399,2.0399,510660,2.61%,场内买入,2018-03-20
4970,场内卖出,上证医药卫生ETF,,1.9881,1.9881,510660,2.53%,场内买入,2018-03-19
4971,场内卖出,上证医药卫生ETF,,1.9390,1.939,510660,-0.39%,场内买入,2018-03-16
4972,场内卖出,广发中证500ETF,,1.6791,1.6791,510510,2.21%,场内买入,2018-03-27
4973,场内卖出,广发中证500ETF,,1.6428,1.6428,510510,1.97%,场内买入,2018-03-26
4974,场内卖出,广发中证500ETF,,1.6111,1.6111,510510,-5.08%,场内买入,2018-03-23
4975,场内卖出,广发中证500ETF,,1.6974,1.6974,510510,-0.44%,场内买入,2018-03-22
4976,场内卖出,上证金融地产ETF,,1.7555,1.7555,510650,0.06%,场内买入,2018-03-27
4977,场内卖出,上证金融地产ETF,,1.7544,1.7544,510650,-2.14%,场内买入,2018-03-26
4978,场内卖出,上证金融地产ETF,,1.7928,1.7928,510650,-2.91%,场内买入,2018-03-23
4979,场内卖出,上证金融地产ETF,,1.8466,1.8466,510650,-0.64%,场内买入,2018-03-22
4980,场内卖出,上证金融地产ETF,,1.8585,1.8585,510650,-0.23%,场内买入,2018-03-21
4981,场内卖出,上证金融地产ETF,,1.8628,1.8628,510650,0.26%,场内买入,2018-03-20
4982,场内卖出,万家上证50ETF,,2.2471,2.2471,510680,0.32%,场内买入,2018-03-27
4983,场内卖出,万家上证50ETF,,2.2400,2.24,510680,-1.88%,场内买入,2018-03-26
4984,场内卖出,万家上证50ETF,,2.2830,2.283,510680,-2.62%,场内买入,2018-03-23
4985,场内卖出,万家上证50ETF,,2.3445,2.3445,510680,-0.95%,场内买入,2018-03-22
4986,场内卖出,万家上证50ETF,,2.3671,2.3671,510680,-0.35%,场内买入,2018-03-21
4987,场内卖出,万家上证50ETF,,2.3755,2.3755,510680,0.24%,场内买入,2018-03-20
4988,场内卖出,博时上证自然资源ETF,,0.7870,0.787,510410,-0.01%,场内买入,2018-03-20
4989,场内卖出,博时上证自然资源ETF,,0.7871,0.7871,510410,-0.78%,场内买入,2018-03-19
4990,场内卖出,博时上证自然资源ETF,,0.7933,0.7933,510410,-1.50%,场内买入,2018-03-16
4991,场内卖出,博时上证自然资源ETF,,0.8054,0.8054,510410,-0.19%,场内买入,2018-03-15
4992,场内卖出,博时上证自然资源ETF,,0.8069,0.8069,510410,0.51%,场内买入,2018-03-14
4993,场内卖出,上证医药卫生ETF,,1.9466,1.9466,510660,0.82%,场内买入,2018-03-15
4994,场内卖出,上证医药卫生ETF,,1.9307,1.9307,510660,-0.42%,场内买入,2018-03-14
4995,场内卖出,广发中证500ETF,,1.7049,1.7049,510510,-0.75%,场内买入,2018-03-21
4996,场内卖出,广发中证500ETF,,1.7177,1.7177,510510,0.30%,场内买入,2018-03-20
4997,场内卖出,广发中证500ETF,,1.7125,1.7125,510510,0.11%,场内买入,2018-03-19
4998,场内卖出,广发中证500ETF,,1.7106,1.7106,510510,-0.52%,场内买入,2018-03-16
4999,场内卖出,广发中证500ETF,,1.7196,1.7196,510510,-0.16%,场内买入,2018-03-15
5000,场内卖出,广发中证500ETF,,1.7224,1.7224,510510,-1.02%,场内买入,2018-03-14
5001,场内卖出,上证金融地产ETF,,1.8579,1.8579,510650,0.95%,场内买入,2018-03-19
5002,场内卖出,上证金融地产ETF,,1.8404,1.8404,510650,-0.82%,场内买入,2018-03-16
5003,场内卖出,上证金融地产ETF,,1.8556,1.8556,510650,0.60%,场内买入,2018-03-15
